"","ds.pseudo","powervec.two.step.3cases","powervec.zero.imputed.3cases"
"1",1.16512517128692,0.962,0.944
"2",0.158205769741957,0.076,0.072
"3",0.795940401635414,0.49,0.446
"4",0.671485539570674,0.062,0.094
"5",0.421926902267814,0.07,0.076
"6",0.421926902267814,0.07,0.076
"7",0.421926902267814,0.07,0.076
"8",0.421926902267814,0.07,0.076
"9",0.421926902267814,0.07,0.076
"10",0.421926902267814,0.07,0.076
"11",0.421926902267814,0.07,0.076
"12",0.421926902267814,0.07,0.076
"13",0.421926902267814,0.07,0.076
"14",0.421926902267814,0.07,0.076
"15",0.421926902267814,0.07,0.076
"16",0.421926902267814,0.07,0.076
"17",0.421926902267814,0.07,0.076
"18",0.421926902267814,0.07,0.076
"19",0.421926902267814,0.07,0.076
"20",0.421926902267814,0.07,0.076
"21",0.868648992253716,0.138,0.152
"22",0.788019583213676,0.852,0.796
"23",0.693800255599697,0.246,0.274
"24",0.965392847158335,0.944,0.942
"25",0.46796275256438,0.092,0.094
"26",1.13363277532456,0.166,0.174
"27",0.580000805228585,0.112,0.124
"28",0.580000805228585,0.112,0.124
"29",0.580000805228585,0.112,0.124
"30",0.580000805228585,0.112,0.124
"31",0.580000805228585,0.112,0.124
"32",0.580000805228585,0.112,0.124
"33",0.580000805228585,0.112,0.124
"34",0.580000805228585,0.112,0.124
"35",0.580000805228585,0.112,0.124
"36",0.580000805228585,0.112,0.124
"37",0.580000805228585,0.112,0.124
"38",0.580000805228585,0.112,0.124
"39",0.580000805228585,0.112,0.124
"40",0.580000805228585,0.112,0.124
"41",1.46205220983954,0.812,0.84
"42",0.769845788144839,0.812,0.838
"43",1.72436383971791,1,1
"44",0.780815986920898,0.824,0.808
"45",1.72436383971791,1,1
"46",0.780815986920898,0.824,0.808
"47",1.72436383971791,1,1
"48",0.780815986920898,0.824,0.808
"49",1.72436383971791,1,1
"50",0.780815986920898,0.824,0.808
"51",1.72436383971791,1,1
"52",0.780815986920898,0.824,0.808
"53",1.72436383971791,1,1
"54",0.780815986920898,0.824,0.808
"55",1.72436383971791,1,1
"56",0.780815986920898,0.824,0.808
"57",1.72436383971791,1,1
"58",0.780815986920898,0.824,0.808
"59",1.72436383971791,1,1
"60",0.780815986920898,0.824,0.808
