"","ds.pseudo.case4","powervec.two.step.case4","powervec.zero.imputed.case4"
"1",0.693707290983467,0.518,0.632
"2",4.50605595394698,0.044,0.942
"3",4.50133272483429,0.016,0.924
"4",0.69334770697377,0.57,0.624
"5",4.50108115927894,0.014,0.932
"6",4.50407816151654,0.028,0.93
"7",4.50551967674264,0.026,0.946
"8",4.50108115927894,0.014,0.932
"9",4.50407816151654,0.028,0.93
"10",4.50551967674264,0.026,0.946
"11",4.50108115927894,0.014,0.932
"12",4.50407816151654,0.028,0.93
"13",4.50551967674264,0.026,0.946
"14",4.50108115927894,0.014,0.932
"15",4.50407816151654,0.028,0.93
"16",4.50551967674264,0.026,0.946
"17",4.50108115927894,0.014,0.932
"18",4.50407816151654,0.028,0.93
"19",4.50551967674264,0.026,0.946
"20",4.50108115927894,0.014,0.932
