"","alphavec","powervec.two.step.case1","powervec.zero.imputed.case1"
"1",5e-05,0,0
"2",5.61009227150981e-05,0,0
"3",6.29462705897083e-05,0,0
"4",7.06268772311378e-05,0,0
"5",7.92446596230557e-05,0,0
"6",8.89139705019461e-05,0,0
"7",9.97631157484439e-05,0,0
"8",0.000111936056928417,1e-04,1e-04
"9",0.000125594321575479,1e-04,1e-04
"10",0.000140919146563223,1e-04,1e-04
"11",0.000158113883008419,1e-04,1e-04
"12",0.000177406694616788,1e-04,1e-04
"13",0.000199053585276749,1e-04,1e-04
"14",0.000223341796075481,2e-04,2e-04
"15",0.000250593616813636,2e-04,2e-04
"16",0.000281170662595174,2e-04,2e-04
"17",0.000315478672240096,3e-04,4e-04
"18",0.000353972892192069,3e-04,4e-04
"19",0.000397164117362141,3e-04,4e-04
"20",0.000445625469066873,6e-04,4e-04
"21",5e-04,6e-04,4e-04
"22",0.000561009227150981,7e-04,7e-04
"23",0.000629462705897084,8e-04,7e-04
"24",0.000706268772311378,0.0013,9e-04
"25",0.000792446596230557,0.0013,9e-04
"26",0.000889139705019461,0.0013,9e-04
"27",0.000997631157484439,0.0014,0.001
"28",0.00111936056928417,0.0014,0.0011
"29",0.00125594321575479,0.0014,0.0012
"30",0.00140919146563223,0.0015,0.0018
"31",0.00158113883008419,0.0018,0.0019
"32",0.00177406694616788,0.0019,0.002
"33",0.00199053585276749,0.0019,0.0022
"34",0.00223341796075482,0.0022,0.0024
"35",0.00250593616813636,0.0026,0.0026
"36",0.00281170662595175,0.0032,0.0028
"37",0.00315478672240096,0.0036,0.0031
"38",0.00353972892192069,0.0037,0.0039
"39",0.00397164117362141,0.0038,0.0042
"40",0.00445625469066873,0.0046,0.005
"41",0.005,0.0052,0.0058
"42",0.00561009227150982,0.0055,0.0066
"43",0.00629462705897084,0.0059,0.0072
"44",0.00706268772311377,0.0066,0.0082
"45",0.00792446596230557,0.0075,0.0092
"46",0.00889139705019461,0.0083,0.0102
"47",0.0099763115748444,0.0095,0.0108
"48",0.0111936056928417,0.0114,0.0123
"49",0.0125594321575479,0.0135,0.0135
"50",0.0140919146563223,0.0152,0.0153
"51",0.0158113883008419,0.0172,0.0173
"52",0.0177406694616788,0.0186,0.0189
"53",0.0199053585276749,0.0207,0.0212
"54",0.0223341796075482,0.0228,0.024
"55",0.0250593616813636,0.0263,0.0271
"56",0.0281170662595174,0.03,0.0305
"57",0.0315478672240097,0.0337,0.0328
"58",0.0353972892192069,0.0367,0.0371
"59",0.0397164117362141,0.041,0.041
"60",0.0445625469066873,0.0467,0.045
"61",0.05,0.053,0.0505
