"","ds.pseudo.case3","powervec.two.step.case3","powervec.zero.imputed.case3"
"1",0.680965685371345,0.498,0.644
"2",0.710357870772745,0.554,0.638
"3",4.47956007801411,0.994,0.934
"4",4.50639517347836,0.994,0.97
"5",0.736319655048744,0.596,0.67
"6",4.48630065114049,0.99,0.93
"7",4.47956007801411,0.994,0.934
"8",4.50639517347836,0.994,0.97
"9",0.736319655048744,0.596,0.67
"10",4.48630065114049,0.99,0.93
"11",4.47956007801411,0.994,0.934
"12",4.50639517347836,0.994,0.97
"13",0.736319655048744,0.596,0.67
"14",4.48630065114049,0.99,0.93
"15",4.47956007801411,0.994,0.934
"16",4.50639517347836,0.994,0.97
"17",0.736319655048744,0.596,0.67
"18",4.48630065114049,0.99,0.93
"19",4.47956007801411,0.994,0.934
"20",4.50639517347836,0.994,0.97
