"","alphavec","powervec.two.step.case1","powervec.zero.imputed.case1"
"1",5e-05,0,0
"2",5.61009227150981e-05,0,0
"3",6.29462705897083e-05,0,0
"4",7.06268772311378e-05,0,0
"5",7.92446596230557e-05,0,0
"6",8.89139705019461e-05,0,0
"7",9.97631157484439e-05,0,0
"8",0.000111936056928417,3e-04,1e-04
"9",0.000125594321575479,3e-04,1e-04
"10",0.000140919146563223,3e-04,1e-04
"11",0.000158113883008419,3e-04,1e-04
"12",0.000177406694616788,3e-04,1e-04
"13",0.000199053585276749,3e-04,1e-04
"14",0.000223341796075481,4e-04,2e-04
"15",0.000250593616813636,4e-04,2e-04
"16",0.000281170662595174,4e-04,2e-04
"17",0.000315478672240096,6e-04,3e-04
"18",0.000353972892192069,6e-04,3e-04
"19",0.000397164117362141,6e-04,3e-04
"20",0.000445625469066873,8e-04,7e-04
"21",5e-04,8e-04,7e-04
"22",0.000561009227150981,0.001,8e-04
"23",0.000629462705897084,0.0013,0.0011
"24",0.000706268772311378,0.0014,0.0012
"25",0.000792446596230557,0.0014,0.0012
"26",0.000889139705019461,0.0015,0.0013
"27",0.000997631157484439,0.0016,0.0015
"28",0.00111936056928417,0.0017,0.0017
"29",0.00125594321575479,0.0019,0.0018
"30",0.00140919146563223,0.0021,0.0021
"31",0.00158113883008419,0.0024,0.0023
"32",0.00177406694616788,0.0026,0.0026
"33",0.00199053585276749,0.0027,0.0028
"34",0.00223341796075482,0.0031,0.0031
"35",0.00250593616813636,0.0034,0.0039
"36",0.00281170662595175,0.0035,0.0045
"37",0.00315478672240096,0.0036,0.005
"38",0.00353972892192069,0.0043,0.0057
"39",0.00397164117362141,0.0047,0.0062
"40",0.00445625469066873,0.0052,0.0069
"41",0.005,0.006,0.0074
"42",0.00561009227150982,0.0071,0.0089
"43",0.00629462705897084,0.0077,0.01
"44",0.00706268772311377,0.009,0.0108
"45",0.00792446596230557,0.01,0.012
"46",0.00889139705019461,0.0108,0.014
"47",0.0099763115748444,0.0116,0.0151
"48",0.0111936056928417,0.0127,0.017
"49",0.0125594321575479,0.014,0.0195
"50",0.0140919146563223,0.0152,0.0216
"51",0.0158113883008419,0.0169,0.0246
"52",0.0177406694616788,0.0182,0.0277
"53",0.0199053585276749,0.0211,0.0307
"54",0.0223341796075482,0.024,0.0346
"55",0.0250593616813636,0.0258,0.0381
"56",0.0281170662595174,0.0294,0.0427
"57",0.0315478672240097,0.0329,0.0467
"58",0.0353972892192069,0.0368,0.0514
"59",0.0397164117362141,0.0413,0.0571
"60",0.0445625469066873,0.0452,0.0634
"61",0.05,0.0496,0.0683
