"","ds.pseudo","powervec.two.step.3cases","powervec.zero.imputed.3cases"
"1",1.67505208774996,0.762,0.97
"2",0.605311294578704,0.284,0.422
"3",1.81565354739975,0.558,0.97
"4",1.39087499404608,0.962,0.992
"5",0.714436418264159,0.408,0.604
"6",0.605311294578704,0.284,0.422
"7",1.81565354739975,0.558,0.97
"8",1.39087499404608,0.962,0.992
"9",0.714436418264159,0.408,0.604
"10",0.605311294578704,0.284,0.422
"11",1.81565354739975,0.558,0.97
"12",1.39087499404608,0.962,0.992
"13",0.714436418264159,0.408,0.604
"14",0.605311294578704,0.284,0.422
"15",1.81565354739975,0.558,0.97
"16",1.39087499404608,0.962,0.992
"17",0.714436418264159,0.408,0.604
"18",0.605311294578704,0.284,0.422
"19",1.81565354739975,0.558,0.97
"20",1.39087499404608,0.962,0.992
"21",0.680965685371345,0.52,0.644
"22",0.710357870772745,0.586,0.638
"23",4.47956007801411,0.032,0.934
"24",4.50639517347836,0.038,0.97
"25",0.736319655048744,0.648,0.67
"26",4.48630065114049,0.016,0.93
"27",4.47956007801411,0.032,0.934
"28",4.50639517347836,0.038,0.97
"29",0.736319655048744,0.648,0.67
"30",4.48630065114049,0.016,0.93
"31",4.47956007801411,0.032,0.934
"32",4.50639517347836,0.038,0.97
"33",0.736319655048744,0.648,0.67
"34",4.48630065114049,0.016,0.93
"35",4.47956007801411,0.032,0.934
"36",4.50639517347836,0.038,0.97
"37",0.736319655048744,0.648,0.67
"38",4.48630065114049,0.016,0.93
"39",4.47956007801411,0.032,0.934
"40",4.50639517347836,0.038,0.97
"41",0.693707290983467,0.518,0.632
"42",4.50605595394698,0.044,0.942
"43",4.50133272483429,0.016,0.924
"44",0.69334770697377,0.57,0.624
"45",4.50108115927894,0.014,0.932
"46",4.50407816151654,0.028,0.93
"47",4.50551967674264,0.026,0.946
"48",4.50108115927894,0.014,0.932
"49",4.50407816151654,0.028,0.93
"50",4.50551967674264,0.026,0.946
"51",4.50108115927894,0.014,0.932
"52",4.50407816151654,0.028,0.93
"53",4.50551967674264,0.026,0.946
"54",4.50108115927894,0.014,0.932
"55",4.50407816151654,0.028,0.93
"56",4.50551967674264,0.026,0.946
"57",4.50108115927894,0.014,0.932
"58",4.50407816151654,0.028,0.93
"59",4.50551967674264,0.026,0.946
"60",4.50108115927894,0.014,0.932
