"","ds.pseudo.case2","powervec.two.step.case2","powervec.zero.imputed.case2"
"1",0.570334689112802,0.376,0.416
"2",0.636783618621816,0.354,0.46
"3",1.74686530647889,0.666,0.982
"4",0.95504053525116,0.732,0.852
"5",0.46214238570704,0.174,0.23
"6",0.57892242685238,0.312,0.38
"7",2.93567528170713,0.606,0.992
"8",1.40919692605671,0.64,0.94
"9",1.29015737334545,0.546,0.882
"10",2.46378798859404,0.6,0.982
"11",0.636783618621816,0.354,0.46
"12",1.74686530647889,0.666,0.982
"13",0.95504053525116,0.732,0.852
"14",0.46214238570704,0.174,0.23
"15",0.57892242685238,0.312,0.38
"16",2.93567528170713,0.606,0.992
"17",1.40919692605671,0.64,0.94
"18",1.29015737334545,0.546,0.882
"19",2.46378798859404,0.6,0.982
"20",0.636783618621816,0.354,0.46
